NAV Name,Net Asset Value,Repurchase Price,Sale Price,NAV Upload date time
360 ONE Mutual Fund,,,,
360 ONE Balanced Hybrid Fund,,,,
360 ONE Balanced Hybrid Fund - Direct Plan - IDCW,13.323,,,02-01-2026 22:45
360 ONE Balanced Hybrid Fund - Regular Plan - Growth,12.8791,,,02-01-2026 22:45
360 ONE Balanced Hybrid Fund- Direct Plan - Growth,13.323,,,02-01-2026 22:45
360 ONE Balanced Hyrbrid fund - Regular Plan - IDCW,12.8791,,,02-01-2026 22:45
360 ONE Dynamic Bond Fund,,,,
360 ONE Dynamic Bond Fund - Regular Plan - Growth Option,23.3264,,,02-01-2026 22:45
360 ONE Dynamic Bond Fund Direct Plan Growth,24.6408,,,02-01-2026 22:45
360 ONE Dynamic Bond Fund Direct Plan Monthly Dividend,14.066,,,02-01-2026 22:45
360 ONE Dynamic Bond Fund Direct Plan Quarterly Dividend,22.7351,,,02-01-2026 22:45
360 ONE Dynamic Bond Fund Regular Plan Bonus,23.3264,,,02-01-2026 22:45
360 ONE Dynamic Bond Fund Regular Plan Half Yearly Dividend,22.5099,,,02-01-2026 22:45
360 ONE Dynamic Bond Fund Regular Plan Monthly Dividend,13.0042,,,02-01-2026 22:45
360 ONE Dynamic Bond Fund Regular Plan Quarterly Dividend,22.5101,,,02-01-2026 22:45
360 ONE ELSS Tax Saver Nifty 50 Index Fund,,,,
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,14.8554,,,02-01-2026 22:45
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - IDCW Payout,14.8554,,,02-01-2026 22:45
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - Growth,14.7438,,,02-01-2026 22:45
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - IDCW Payout,14.7438,,,02-01-2026 22:45
360 ONE Flexicap Fund,,,,
360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,16.0239,,,02-01-2026 22:45
360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,16.0239,,,02-01-2026 22:45
360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH,15.4025,,,02-01-2026 22:45
360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,15.4025,,,02-01-2026 22:45
360 ONE Focused Fund,,,,
360 ONE Focused Fund - Direct Plan - Dividend,54.2967,,,02-01-2026 22:45
360 ONE Focused Fund - Regular Plan - Dividend,42.6188,,,02-01-2026 22:45
360 ONE Focused Fund -Regular Plan - Growth,48.1678,,,02-01-2026 22:45
360 ONE Focused Fund-Direct Plan-Growth,54.8562,,,02-01-2026 22:45
360 ONE Gold ETF,,,,
360 ONE Gold ETF,131.1092,,,02-01-2026 22:45
360 ONE Liquid Fund,,,,
360 ONE LIQUID FUND DIRECT PLAN  DAILY DIVIDEND REINVESTMENT,1000.3633,,,02-01-2026 22:45
360 ONE LIQUID FUND DIRECT PLAN  GROWTH,2081.5986,,,02-01-2026 22:45
360 ONE LIQUID FUND DIRECT PLAN  WEEKLY DIVIDEND,1005.7756,,,02-01-2026 22:45
360 ONE LIQUID FUND REGULAR PLAN  DAILY DIVIDEND REINVESTMENT,1000.3633,,,02-01-2026 22:45
360 ONE LIQUID FUND REGULAR PLAN  GROWTH,2067.7848,,,02-01-2026 22:45
360 ONE LIQUID FUND REGULAR PLAN  WEEKLY DIVIDEND,1005.7588,,,02-01-2026 22:45
360 ONE Multi Asset Allocation Fund,,,,
360 ONE Multi Asset Allocation Fund - Direct Plan - Growth,11.6831,,,02-01-2026 22:45
360 ONE Multi Asset Allocation Fund - Direct Plan - IDCW,11.6831,,,02-01-2026 22:45
360 ONE Multi Asset Allocation Fund - Regular Plan - Growth,11.6138,,,02-01-2026 22:45
360 ONE Multi Asset Allocation Fund - Regular Plan - IDCW,11.6138,,,02-01-2026 22:45
360 ONE Overnight Fund,,,,
360 ONE Overnight Fund - Direct Plan - Growth,1026.5381,,,02-01-2026 22:45
360 ONE Overnight Fund - Regular Plan - Growth,1026.1396,,,02-01-2026 22:45
360 ONE Overnight Fund - Regular Plan - IDCW,1026.1396,,,02-01-2026 22:45
360 ONE Overnight Fund- Direct Plan - IDCW,1026.5381,,,02-01-2026 22:45
360 ONE QUANT FUND,,,,
360 ONE QUANT FUND DIRECT GROWTH,21.0825,,,02-01-2026 22:45
360 ONE QUANT FUND DIRECT INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,21.0825,,,02-01-2026 22:45
360 ONE QUANT FUND REGULAR GROWTH,20.0234,,,02-01-2026 22:45
360 ONE QUANT FUND REGULAR INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,20.0234,,,02-01-2026 22:45
360 ONE Silver ETF,,,,
360 ONE Silver ETF,226.3374,,,02-01-2026 22:45
Abakkus Mutual Fund,,,,
Abakkus Flexi Cap Fund,,,,
Abakkus Flexi Cap Fund - Direct - Growth,10.043,,,02-01-2026 22:38
Abakkus Flexi Cap Fund - Direct - IDCW,10.043,,,02-01-2026 22:38
Abakkus Flexi Cap Fund - Regular - Growth,10.041,,,02-01-2026 22:38
Abakkus Flexi Cap Fund - Regular - IDCW,10.041,,,02-01-2026 22:38
Abakkus Liquid Fund,,,,
Abakkus Liquid Fund - Direct Plan - Daily IDCW Reinvestment,100.0048,,,02-01-2026 22:38
Abakkus Liquid Fund - Direct Plan - Growth,100.3258,,,02-01-2026 22:38
Abakkus Liquid Fund - Direct Plan - Monthly IDCW Reinvestment,100.3258,,,02-01-2026 22:38
Abakkus Liquid Fund - Direct Plan - Quarterly IDCW Reinvestment,100.3255,,,02-01-2026 22:38
Abakkus Liquid Fund - Direct Plan - Weekly IDCW Reinvestment,100.058,,,02-01-2026 22:38
Abakkus Liquid Fund - Regular Plan - Daily IDCW Reinvestment,100.0041,,,02-01-2026 22:38
Abakkus Liquid Fund - Regular Plan - Growth,100.3208,,,02-01-2026 22:38
Abakkus Liquid Fund - Regular Plan - Monthly IDCW Reinvestment,100.3209,,,02-01-2026 22:38
Abakkus Liquid Fund - Regular Plan - Quarterly IDCW Reinvestment,100.3204,,,02-01-2026 22:38
Abakkus Liquid Fund - Regular Plan - Weekly IDCW Reinvestment,100.0563,,,02-01-2026 22:38
Aditya Birla Sun Life Mutual Fund,,,,
Aditya Birla Sun Life Aggressive Hybrid Omni FOF,,,,
Aditya Birla Sun Life Aggressive Hybrid Omni FOF-  Regular -  IDCW,39.5298,,,03-01-2026 08:52
Aditya Birla Sun Life Aggressive Hybrid Omni FOF- Direct - IDCW,42.9163,,,03-01-2026 08:52
Aditya Birla Sun Life Aggressive Hybrid Omni FOF- Direct Plan - Growth Option,47.2517,,,03-01-2026 08:52
Aditya Birla Sun Life Aggressive Hybrid Omni FOF- Regular Plan - Growth Option,44.0723,,,03-01-2026 08:52
ADITYA BIRLA SUN LIFE ARBITRAGE FUND,,,,
Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,29.5704,,,02-01-2026 22:39
Aditya BIRLA SUN LIFE ARBITRAGE FUND - REGULAR PLAN - GROWTH,27.3343,,,02-01-2026 22:39
Aditya Birla Sun Life Arbitrage Fund-DIRECT - IDCW,11.5149,,,02-01-2026 22:39
Aditya Birla Sun Life Arbitrage Fund-Regular - IDCW,11.1187,,,02-01-2026 22:39
ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA,,,,
ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA DIRECT GROWTH,23.43,,,02-01-2026 22:39
ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA REGULAR GROWTH,20.91,,,02-01-2026 22:39
ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Direct - IDCW,20.51,,,02-01-2026 22:39
ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Regular - IDCW,18.32,,,02-01-2026 22:39
Aditya Birla Sun Life Balanced Advantage Fund,,,,
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option,126.23,,,02-01-2026 22:39
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option,110.65,,,02-01-2026 22:39
Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW,30.8,,,02-01-2026 22:39
Aditya Birla Sun Life Balanced Advantage Fund -REGULAR - IDCW,26.96,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund,,,,
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,110.3333,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,117.1554,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,104.4086,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,154.7141,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,112.71,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.1913,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,113.6284,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,103.3537,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,376.6781,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,565.445,,,02-01-2026 22:39
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,391.6192,,,02-01-2026 22:39
Aditya Birla Sun Life Banking and Financial Services Fund,,,,
Aditya Birla Sun Life Banking and Financial Services Fund - DIRECT - IDCW,34.43,,,02-01-2026 22:39
Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,73.29,,,02-01-2026 22:39
Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,25.35,,,02-01-2026 22:39
Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,65.07,,,02-01-2026 22:39
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund,,,,
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund- Regular Growth,10.6346,,,02-01-2026 22:39
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund-Direct Growth,10.6672,,,02-01-2026 22:39
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund-Direct IDCW Payout,10.6682,,,02-01-2026 22:39
Aditya Birla Sun Life BSE 500 Momentum 50 Index Fund-Regular IDCW Payout,10.6346,,,02-01-2026 22:39
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund,,,,
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct Growth,10.5953,,,02-01-2026 22:39
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Direct IDCW Payout,10.5953,,,02-01-2026 22:39
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Regular Growth,10.562,,,02-01-2026 22:39
Aditya Birla Sun Life BSE 500 Quality 50 Index Fund - Regular IDCW Payout,10.562,,,02-01-2026 22:39
Aditya Birla Sun Life BSE India Infrastructure Index Fund,,,,
Aditya Birla Sun Life BSE India Infrastructure Index Fund-Direct Growth,9.4213,,,02-01-2026 22:39
Aditya Birla Sun Life BSE India Infrastructure Index Fund-Direct IDCW Payout,9.4213,,,02-01-2026 22:39
Aditya Birla Sun Life BSE India Infrastructure Index Fund-Regular Growth,9.3559,,,02-01-2026 22:39
Aditya Birla Sun Life BSE India Infrastructure Index Fund-Regular IDCW Payout,9.356,,,02-01-2026 22:39
Aditya Birla Sun Life BSE Sensex ETF,,,,
Aditya Birla Sun Life BSE Sensex ETF,85.8303,,,02-01-2026 22:39
Aditya Birla Sun Life Business Cycle Fund,,,,
Aditya Birla Sun Life Business Cycle Fund-Direct Growth,16.58,,,03-01-2026 08:52
Aditya Birla Sun Life Business Cycle Fund-Direct IDCW Payout,14.51,,,03-01-2026 08:52
Aditya Birla Sun Life Business Cycle Fund-Regular IDCW Payout,13.76,,,03-01-2026 08:52
Aditya Birla Sun Life Business Cycle Fund-Regular-Growth,15.72,,,03-01-2026 08:52
Aditya Birla Sun Life Conglomerate Fund,,,,
Aditya Birla Sun Life Conglomerate Fund-Direct Growth,11.2,,,02-01-2026 22:39
Aditya Birla Sun Life Conglomerate Fund-Direct IDCW Payout,11.2,,,02-01-2026 22:39
Aditya Birla Sun Life Conglomerate Fund-Regular Growth,11.03,,,02-01-2026 22:39
Aditya Birla Sun Life Conglomerate Fund-Regular IDCW Payout,11.03,,,02-01-2026 22:39
Aditya Birla Sun Life Conservative Hybrid Active FOF,,,,
Aditya Birla Sun Life Conservative Hybrid Active FOF -Regular - IDCW,31.8162,,,03-01-2026 08:52
Aditya Birla Sun Life Conservative Hybrid Active FOF- Direct Plan - Growth Option,37.2492,,,03-01-2026 08:52
Aditya Birla Sun Life Conservative Hybrid Active FOF- Regular Plan - Growth Option,34.9708,,,03-01-2026 08:52
Aditya Birla Sun Life Conservative Hybrid Active FOF-Direct - IDCW,25.2914,,,03-01-2026 08:52
Aditya Birla Sun Life Consumption Fund,,,,
Aditya Birla Sun Life Consumption Fund - Growth - Direct Plan,252.48,,,02-01-2026 22:39
Aditya Birla Sun Life Consumption Fund -DIRECT - IDCW,52.21,,,02-01-2026 22:39
Aditya Birla Sun Life Consumption Fund -Regular - IDCW,40.97,,,02-01-2026 22:39
Aditya Birla Sun Life Consumption Fund-Growth Option,219.72,,,02-01-2026 22:39
Aditya Birla Sun Life Corporate Bond Fund,,,,
