Symbol,ETF Name,Theme Option,Last Price,Volume,Average Volume 30D,AUM,Expense Ratio %,Change %,MTD %,1M %,3M %,6M %,YTD %,1Y %
MRVU,Direxion Daily MRVL Bull 2X ETF,North America,269.50,1124803,339541.20,105923451.32,0.97,8.22,114.67,193.86,1080.98,995.58,995.58,995.58
MVLL,GraniteShares 2x Long MRVL Daily ETF,North America,203.74,6705960,1710970.93,662966114.70,1.50,7.57,114.46,196.56,1060.25,561.92,814.45,1236.00
POEL,Defiance Daily Target 2X Long POET ETF,North America,58.38,1439555,,102849813.00,1.31,18.92,58.43,157.18,157.18,157.18,157.18,157.18
AAOG,Leverage Shares 2X Long AAOI Daily ETF,North America,13.17,531035,,9349633.50,0.75,-18.39,43.91,-14.99,-14.99,-14.99,-14.99,-14.99
NVTX,Tradr 2X Long NVTS Daily ETF,North America,168.27,1488367,376079.17,71261998.65,1.30,38.70,41.21,137.60,579.88,289.42,647.53,536.18
AAOX,Tradr 2X Long AAOI Daily ETF,North America,58.71,4479073,4414813.90,598511907.50,1.49,-17.89,40.99,-21.19,130.15,130.15,130.15,130.15
CSEX,Tradr 2X Long CLS Daily ETF,North America,31.48,248901,147278.40,19289340.00,1.30,-6.17,38.74,10.79,136.87,44.94,72.78,45.94
COHX,Tradr 2X Long COHR Daily ETF,North America,68.17,1190008,1092323.00,104811289.00,1.49,-5.54,37.69,35.72,111.18,182.04,182.04,182.04
CRCD,T-REX 2X Inverse CRCL Daily Target ETF,North America,4.07,3298329,7371022.67,9843740.00,1.50,18.51,35.50,-5.24,-43.15,-87.71,-87.75,-83.58
COHH,Leverage Shares 2X Long COHR Daily ETF,North America,17.14,277925,,10003425.00,0.75,-5.26,34.63,19.27,19.27,19.27,19.27,19.27
CIFG,Leverage Shares 2X Long CIFR Daily ETF,North America,17.66,504993,239465.53,6886645.00,0.75,2.02,34.60,114.58,119.65,32.88,92.17,32.88
CIFU,T-REX 2X Long CIFR Daily Target ETF,North America,42.88,126420,227644.37,19713512.00,1.50,2.95,32.88,119.34,116.24,5.36,89.40,68.69
TEUP,T-REX 2X Long TE Daily Target ETF,North America,29.21,104208,,922663.40,1.50,-4.95,32.71,32.71,32.71,32.71,32.71,32.71
GLWG,Leverage Shares 2X Long GLW Daily ETF,North America,30.71,2121930,1366924.27,85943412.00,0.75,-0.35,28.50,39.85,94.02,94.02,94.02,94.02
SOXL,Direxion Daily Semiconductor Bull 3X ETF,North America,278.32,41276758,60041858.90,25988261630.20,0.75,4.51,28.10,110.54,403.15,498.92,516.71,1543.95
KLAG,Leverage Shares 2x Long KLAC Daily ETF,North America,40.74,35969,38010.03,6145704.00,0.75,7.93,27.73,50.80,93.75,152.58,134.03,152.58
RVNL,GraniteShares 2x Long RIVN Daily ETF,North America,38.85,74289,70895.43,15918933.87,1.15,10.22,27.21,40.51,38.26,-22.44,-31.17,-0.35
MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF,North America,8.66,25650570,25035516.77,123370000.00,1.05,8.38,26.33,70.80,-12.44,-30.56,-47.80,76.37
AMA,Defiance Daily Target 2X Long AMAT ETF,North America,31.01,229567,,14112198.00,1.29,4.13,26.31,59.27,59.27,59.27,59.27,59.27
LITX,Tradr 2X Long LITE Daily ETF,North America,43.69,6735435,7239015.53,509280250.00,1.49,-17.83,25.80,-18.94,57.92,364.79,364.79,364.79
SMST,Defiance Daily Target 2x Short MSTR ETF,North America,44.42,496785,506308.73,35995081.70,1.31,8.01,25.53,66.64,-15.54,-34.98,-50.24,57.15
RKLZ,Defiance Daily Target 2x Short RKLB ETF,North America,2.67,21322428,18315095.87,29781039.92,1.29,14.10,25.35,-80.07,-89.70,-97.70,-93.32,-98.43
AMKL,Defiance Daily Target 2X Long AMKR ETF,North America,21.54,240180,,7148448.00,1.31,2.91,24.65,-2.40,-2.40,-2.40,-2.40,-2.40
ONX,Tradr 2X Long ON Daily ETF,North America,28.17,16089,,233937.00,1.30,7.07,24.35,17.72,17.72,17.72,17.72,17.72
LITU,T-REX 2X Long LITE Daily Target ETF,North America,27.96,114683,,2914802.00,1.50,-17.01,23.94,7.66,7.66,7.66,7.66,7.66
TERG,Leverage Shares 2X Long TER Daily ETF,North America,60.54,182993,152738.03,11395462.50,0.75,6.65,23.77,32.81,45.17,199.98,195.44,291.81
PLTZ,Defiance Daily Target 2x Short PLTR ETF,North America,25.90,483170,637869.47,18760892.60,1.29,13.25,23.69,-2.26,-8.99,1.18,8.69,-65.59
AMAU,Leverage Shares 2X Long AMAT Daily ETF,North America,18.58,124713,,2913657.50,0.75,3.39,23.37,29.12,29.12,29.12,29.12,29.12
LNOK,Defiance Daily Target 2X Long NOK ETF,Europe,112.07,693121,311413.13,150650500.00,1.31,-0.18,22.03,44.44,282.23,456.40,456.40,456.40
AXTU,T-REX 2X Long AXTI Daily Target ETF,North America,21.40,159552,,8242148.51,1.50,-8.08,21.59,-19.21,-19.21,-19.21,-19.21,-19.21
AXTX,Tradr 2X Long AXTI Daily ETF,North America,39.31,1762327,,440878880.00,1.49,-8.81,20.95,1.13,71.96,71.96,71.96,71.96
WDCX,Tradr 2X Long WDC Daily ETF,North America,40.16,846657,1443492.62,312574698.00,1.49,9.27,20.73,81.04,359.85,364.64,364.64,364.64
LRCU,Tradr 2X Long LRCX Daily ETF,North America,75.21,68532,95862.60,31883890.50,1.30,5.35,20.68,71.79,118.66,276.93,201.64,809.07
BWET,Breakwave Tanker Shipping ETF,Global,188.99,89271,113003.93,24922423.88,3.50,4.81,20.21,8.24,190.04,730.00,896.26,1786.13
WULX,Tradr 2X Long WULF Daily ETF,North America,55.34,97069,165880.07,25692244.50,1.30,-1.91,20.12,41.90,144.33,87.40,226.88,123.93
MSDD,GraniteShares 2x Short MSTR Daily ETF,North America,46.80,22596,10232.30,2208036.80,1.50,7.82,20.00,74.50,-12.52,-32.48,-46.63,87.73
CIEG,Leverage Shares 2X Long CIEN Daily ETF,North America,16.81,420010,,3435414.50,0.75,-0.71,18.46,17.47,17.47,17.47,17.47,17.47
STHH,STMicroelectronics NV,Europe,161.04,2087,3949.03,5474776.87,0.19,2.31,18.13,47.76,138.75,207.93,194.03,210.94
FCXG,Leverage Shares 2x Long FCX Daily ETF,North America,17.17,116332,45701.70,3135741.50,0.75,-1.41,17.76,52.76,10.77,18.01,18.01,18.01
