Symbol,ETF Name,Theme Option,Last Price,Volume,Average Volume 30D,AUM,Expense Ratio %,Change %,MTD %,1M %,3M %,6M %,YTD %,1Y %
EFFE,Harbor Osmosis Emerging Markets Resource Efficient ETF,Emerging markets,30.05,10071,468.43,151472250.00,0.69,0.57,3.62,17.91,26.15,21.90,27.77,39.76
EMEQ,Nomura Focused Emerging Markets Equity ETF,Emerging markets,71.43,118772,182079.33,640136000.00,0.86,-1.50,3.06,22.75,52.37,81.85,71.42,158.19
EET,ProShares Ultra MSCI Emerging Markets,Emerging markets,125.00,729,13800.87,52296090.00,0.95,-1.55,2.26,16.54,40.18,56.43,48.49,117.85
OAEM,OneAscent Emerging Markets ETF,Emerging markets,50.05,9098,54425.97,133434000.00,1.25,-0.68,2.25,8.12,20.72,41.70,33.93,61.82
MEMA,Man Active Emerging Markets Alternative ETF,Emerging markets,33.05,4,2234.07,12959358.19,0.85,1.28,2.24,7.16,17.75,31.90,25.24,31.90
DBEM,Xtrackers MSCI Emerging Markets Hedged Equity ETF,Emerging markets,41.96,4131,7713.00,105123791.22,0.66,-0.98,1.80,9.90,22.19,31.08,29.47,59.79
EPEM,Harbor Emerging Markets Equity ETF,Emerging markets,30.81,2,77.50,8272000.00,0.84,1.70,1.70,9.79,18.14,29.17,28.52,53.28
RISE,Pictet Emerging Markets Rising Economies ETF,Emerging markets,18.75,11367,,21672052.50,0.73,1.06,1.68,-1.73,-4.19,-4.19,-4.19,-4.19
VEM,Virtus Emerging Markets Dividend ETF,Emerging markets,29.14,2,330.13,7123613.98,0.49,1.26,1.65,10.18,16.19,15.60,15.60,15.60
EMCS,Xtrackers MSCI Emerging Markets Select ETF,Emerging markets,47.68,4356,1699.23,1041433546.81,0.15,-1.22,1.55,13.12,27.54,35.00,30.24,62.01
EDC,Direxion Emerging Markets Bull 3X ETF,Emerging markets,98.30,99012,116964.60,227400027.87,1.09,-4.27,1.50,23.22,58.02,84.02,69.58,195.21
STXE,Strive Emerging Markets Ex-China ETF,Emerging markets,52.66,15408,8803.77,157210800.00,0.32,-0.92,1.43,13.81,28.53,49.31,43.72,79.18
RWEM,Rayliant Wilshire NxtGen Emerging Markets Equity ETF,Emerging markets,37.94,4000,38350.70,72622053.28,0.52,1.61,1.42,10.77,21.06,35.26,26.09,54.82
TEMR,T. Rowe Price Emerging Markets Equity Research ETF,Emerging markets,30.09,127,1164.70,25236403.95,0.40,1.05,1.38,11.48,21.77,21.77,21.77,21.77
BREE,MFS Blended Research Emerging Markets Equity ETF,Emerging markets,27.88,1234,2653.67,26986682.78,0.44,-1.10,1.34,9.55,12.65,12.65,12.65,12.65
EMSF,Matthews Emerging Markets Sustainable Future Active ETF,Emerging markets,41.07,2156,6982.20,46675050.00,0.79,-1.46,1.31,8.08,27.43,36.93,41.43,59.56
JADE,JPMorgan Active Developing Markets Equity ETF,Emerging markets,81.66,1498,1801.97,32200000.00,0.65,0.98,1.30,9.71,18.74,29.72,26.87,58.94
HEEM,iShares Currency Hedged MSCI Emerging Markets ETF,Emerging markets,45.11,9280,31579.83,289138252.62,0.72,-0.99,1.26,8.88,21.13,28.89,27.11,57.45
XCNY,State Street SPDR S&P Emerging Markets ex-China ETF,Emerging markets,34.00,74,373.63,10030006.50,0.19,0.95,1.19,6.68,14.63,21.34,19.26,35.24
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,Emerging markets,66.52,6483,5058.10,99357000.00,0.61,0.31,1.17,0.14,-1.16,-0.36,-0.20,1.62
ECON,Columbia Research Enhanced Emerging Economies ETF,Emerging markets,36.88,5750,26712.90,357020625.00,0.47,-1.30,1.11,13.29,25.30,33.99,32.17,62.30
FFEM,Fidelity Fundamental Emerging Markets ETF,Emerging markets,44.28,9984,15064.87,43861743.00,0.60,-1.73,1.10,8.85,22.35,33.69,27.06,65.27
FEMR,Fidelity Enhanced Emerging Markets ETF,Emerging markets,43.52,77988,40778.63,141780490.50,0.38,-0.90,1.06,10.53,22.64,35.97,30.94,60.46
PEMX,Putnam Emerging Markets ex-China ETF,Emerging markets,90.08,634,642.83,22327500.00,0.69,-0.79,0.94,10.91,24.91,34.75,37.23,63.65
NTSE,WisdomTree Emerging Markets Efficient Core Fund,Emerging markets,49.64,1654,4087.07,57866400.00,0.32,-1.29,0.91,10.13,21.01,32.73,28.10,58.54
SEEM,SEI Select Emerging Markets Equity ETF,Emerging markets,40.54,17786,42858.37,607658766.87,0.60,-1.38,0.90,8.83,21.23,30.27,27.69,56.22
XSOE,WisdomTree Emerging Markets Ex-State Owned Enterprises Fund,Emerging markets,49.81,98612,170481.43,2214302800.00,0.32,-1.44,0.87,9.11,21.31,28.61,25.15,52.37
EMDV,ProShares MSCI Emerging Markets Dividend Growers ETF,Emerging markets,47.98,555,185.33,7395592.50,0.60,0.64,0.84,2.40,5.45,1.47,2.10,7.14
DIEM,Franklin Emerging Market Core Dividend Tilt Index ETF,Emerging markets,44.57,17250,13168.30,61961200.00,0.19,-1.33,0.84,11.51,22.97,32.81,30.36,56.06
TLTE,FlexShares Morningstar Emerging Markets Factor Tilt Index Fund,Emerging markets,79.46,10682,5914.90,366882739.76,0.57,-1.28,0.80,5.82,15.66,22.55,22.59,42.99
EMKT,Lazard Emerging Markets Opportunities ETF,Emerging markets,32.70,15063,21754.87,182848050.14,0.74,-1.18,0.77,11.00,21.70,30.38,27.49,29.40
PXH,Invesco RAFI Emerging Markets ETF,Emerging markets,29.51,138788,216706.97,2018864300.00,0.47,-1.53,0.75,2.93,9.34,12.46,12.46,31.62
GEME,Pacific North of South EM Equity Active ETF,Emerging markets,44.52,31365,73305.00,349733000.00,0.75,-1.35,0.71,11.08,24.75,34.68,35.95,69.81
KEMX,KraneShares MSCI Emerging Markets ex China Index ETF,Emerging markets,52.86,7417,13418.70,136083755.54,0.24,-1.10,0.71,12.48,26.59,42.22,39.56,74.93
FNDE,Schwab Fundamental Emerging Markets Equity ETF,Emerging markets,41.72,532820,817716.60,9665025000.00,0.39,-1.50,0.71,2.72,9.34,11.24,13.85,31.84
GEM,Goldman Sachs ActiveBeta Emerging Markets Equity ETF,Emerging markets,52.92,59037,91677.30,1695427000.00,0.35,-1.36,0.70,8.78,19.92,25.70,24.66,51.11
EMC,Global X Emerging Markets Great Consumer ETF,Emerging markets,38.48,21557,5907.33,68004216.05,0.65,-1.70,0.68,9.32,19.84,30.26,22.12,38.92
JEMB,Janus Henderson Emerging Markets Debt Hard Currency ETF,Emerging markets,53.84,1656,9775.53,480376971.00,0.52,0.22,0.68,0.83,0.14,0.41,0.57,5.83
JEMA,JPMorgan ActiveBuilders Emerging Markets Equity ETF,Emerging markets,64.31,140172,106255.13,1768670000.00,0.33,-1.23,0.66,8.01,20.90,27.37,28.57,58.63
LDEM,iShares ESG MSCI EM Leaders ETF,Emerging markets,62.22,4472,1508.13,34376623.05,0.16,-1.47,0.65,0.73,5.82,5.10,4.68,21.55
EEM,iShares MSCI Emerging Index Fund,Emerging markets,69.81,13910964,27090740.67,31069025247.60,0.72,-1.40,0.62,8.28,20.32,27.09,24.91,52.29
ESGE,iShares ESG Aware MSCI EM ETF,Emerging markets,55.90,576210,1120806.37,7113103340.40,0.25,-1.45,0.62,8.62,20.48,25.54,23.82,51.05
MEMX,Matthews Emerging Markets ex China Active ETF,Emerging markets,49.74,992,2309.87,50436960.00,0.79,-1.09,0.62,9.98,19.79,33.23,29.92,62.48
DEXC,Dimensional Emerging Markets ex China Core Equity ETF,Emerging markets,82.94,60329,18136.63,331405621.80,0.43,-0.93,0.61,9.74,25.12,39.96,35.13,60.52
TEMD,Templeton Emerging Markets Debt ETF,Emerging markets,25.01,377,622.33,49854000.00,0.45,0.20,0.60,0.72,-0.87,-0.95,-0.95,-0.95
VWO,Vanguard FTSE Emerging Markets ETF,Emerging markets,60.38,3828119,7759200.20,122734452817.20,0.06,-1.33,0.59,2.35,9.89,10.68,10.39,27.63
EMGF,iShares Emerging Markets Equity Factor ETF,Emerging markets,75.09,243042,151355.30,1967007447.00,0.26,-1.35,0.59,9.17,21.41,29.29,27.44,51.42
SCHE,Schwab Emerging Markets Equity ETF,Emerging markets,36.66,2522082,2710185.57,12766251000.00,0.07,-1.41,0.54,2.22,9.49,8.84,10.05,27.10
KEMQ,KraneShares Emerging Markets Consumer Technology Index ETF,Emerging markets,26.34,1092,9653.37,42320853.76,0.50,-2.93,0.53,6.99,14.47,1.58,3.70,30.40
SPEM,State Street SPDR Portfolio Emerging Markets ETF,Emerging markets,52.69,1050806,2405141.57,18012760572.80,0.07,-1.31,0.52,2.77,10.07,11.32,10.74,28.11
QLVE,FlexShares Emerging Markets Quality Low Volatility Index Fund,Emerging markets,35.16,21,860.90,17408684.82,0.18,0.48,0.52,8.55,14.17,19.47,17.71,33.29
NSI,National Security Emerging Markets Index ETF,Emerging markets,39.24,319,1291.27,42695300.00,0.75,-1.52,0.51,2.75,10.22,16.91,15.04,41.48
EMFI,Pictet Emerging Markets Debt ETF,Emerging markets,50.72,355,,17599260.00,0.50,0.49,0.49,1.28,1.16,1.16,1.16,1.16
DFAE,Dimensional Emerging Core Equity Market ETF,Emerging markets,41.04,687536,1332944.83,9723114301.82,0.29,-1.35,0.49,7.24,18.20,26.67,23.47,49.35
EMMY,Corgi Emerging Markets Equities 15% Structured Buffer ETF - May Series,Emerging markets,25.24,17473,,4918621.50,0.30,-0.09,0.47,-1.72,-1.72,-1.72,-1.72,-1.72
VEXC,Vanguard Emerging Markets Ex-China ETF,Emerging markets,95.45,11716,28145.00,238150000.00,0.07,-1.10,0.47,4.50,12.56,21.46,18.13,24.64
MEM,Matthews Emerging Markets Equity Active ETF,Emerging markets,45.89,2661,2670.10,57188800.00,0.79,-1.52,0.46,6.37,18.73,24.24,24.33,49.09
EMXC,iShares MSCI Emerging Markets ex China ETF,Emerging markets,102.86,1721411,2422310.73,25333479496.90,0.25,-1.13,0.45,11.82,26.99,42.70,38.89,72.87
EMM,Global X Emerging Markets ex-China ETF,Emerging markets,45.52,7744,12738.87,64447404.07,0.66,-1.17,0.44,8.93,22.07,37.56,31.67,62.13
XCEM,Columbia EM Core ex-China ETF,Emerging markets,52.90,108448,187537.63,2042795505.00,0.16,-1.54,0.42,11.13,24.97,37.72,35.43,65.62
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,Emerging markets,40.92,8806,9400.37,148477300.00,0.32,-1.21,0.37,6.90,19.75,34.09,28.48,54.70
IEMG,iShares Core MSCI Emerging Markets ETF,Emerging markets,84.72,7433289,13033035.17,165552498124.80,0.09,-1.48,0.36,7.29,18.66,25.18,23.46,48.27
MFEM,PIMCO RAFI Dynamic Multi-Factor Emerging Markets Equity ETF,Emerging markets,30.23,8238,10847.60,162366400.00,0.50,-1.11,0.36,8.39,18.97,30.75,28.91,51.00
GSEE,Goldman Sachs MarketBeta Emerging Markets Equity ETF,Emerging markets,71.83,1573,4050.13,146288000.00,0.36,-1.23,0.36,7.95,18.86,25.62,26.00,50.66
JHEM,John Hancock Multifactor Emerging Markets ETF,Emerging markets,41.39,31797,23418.03,1045765380.00,0.49,-1.31,0.34,8.55,18.46,25.84,23.29,48.30
EMXF,iShares ESG Advanced MSCI EM ETF,Emerging markets,57.96,1906,7119.80,162431418.80,0.16,-1.45,0.32,7.59,19.00,23.75,22.63,42.28
REMG,Russell Investments Emerging Markets Equity ETF,Emerging markets,38.17,13750,9939.90,104423363.64,0.64,-1.36,0.32,9.07,19.67,29.14,26.95,56.65
AVSE,Avantis Responsible Emerging Markets Equity ETF,Emerging markets,82.24,5272,8230.20,211581915.00,0.33,-1.64,0.31,8.56,19.25,25.45,24.31,47.67
GAEM,Simplify Gamma Emerging Market Bond ETF,Emerging markets,26.85,2977,10707.43,41467176.75,0.76,0.02,0.30,0.04,1.05,0.64,0.86,5.06
AGEM,abrdn Emerging Markets Dividend Active ETF,Emerging markets,50.28,5733,7213.43,352225690.08,0.70,-1.46,0.29,9.60,18.10,31.43,29.87,59.74
EEMX,State Street SPDR MSCI Emerging Markets Fossil Fuel Reserves Free ETF,Emerging markets,54.63,4389,7218.03,185283999.60,0.30,-1.74,0.24,8.44,20.65,29.39,24.98,54.44
VEMY,Virtus Stone Harbor Emerging Markets High Yield Bond ETF,Emerging markets,28.80,12188,15217.70,21456114.43,0.55,-0.17,0.23,0.72,1.25,1.18,3.24,8.80
EVLU,iShares MSCI Emerging Markets Value Factor ETF,Emerging markets,43.06,6056,2708.63,15402156.48,0.35,-2.05,0.23,15.07,24.99,29.72,31.63,63.73
AVEM,Avantis Emerging Markets Equity ETF,Emerging markets,98.14,1600791,2011344.87,26552365625.00,0.33,-1.45,0.22,8.13,18.78,26.58,25.11,51.24
FDEM,Fidelity Emerging Markets Multifactor ETF,Emerging markets,37.69,89770,156789.93,616372565.20,0.25,-1.41,0.21,6.86,15.37,21.50,20.07,40.79
EJAN,Innovator Emerging Markets Power Buffer ETF January,Emerging markets,35.99,9326,10846.27,156565635.00,0.89,-0.26,0.21,0.60,5.13,7.19,5.40,15.89
EMHC,State Street SPDR Bloomberg Emerging Markets USD Bond ETF,Emerging markets,25.26,37658,35957.93,262228876.00,0.23,-0.32,0.20,0.24,-0.90,-1.37,-0.74,5.07
DFEV,Dimensional Emerging Markets Value ETF,Emerging markets,43.68,148821,191043.10,2034470065.41,0.43,-1.28,0.19,8.75,20.52,30.37,27.63,53.25
FRDM,Freedom 100 Emerging Markets ETF,Emerging markets,73.59,323821,366002.97,3614477895.00,0.49,-1.62,0.19,15.27,27.85,49.57,40.52,92.64
BREM,iShares Emerging Markets Bond Active ETF,Emerging markets,51.40,80,272.57,38369325.00,0.50,0.18,0.18,0.48,0.60,1.02,0.71,2.28
BBEM,JPMorgan BetaBuilders Emerging Markets Equity ETF,Emerging markets,80.10,1183,49806.53,841984000.00,0.15,-1.98,0.18,7.55,18.97,22.16,23.34,44.12
EMDM,First Trust Bloomberg Emerging Market Democracies ETF,Emerging markets,43.55,3813,10662.27,34575286.44,0.75,-1.35,0.17,9.93,19.83,39.82,35.94,84.08
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF,Emerging markets,96.43,1401,3202.57,81799092.47,0.99,-1.24,0.17,3.63,15.40,21.37,20.01,42.78
NEMD,Neuberger Emerging Markets Debt Hard Currency ETF,Emerging markets,52.99,2878,10362.73,135715811.23,0.60,-0.35,0.17,0.55,-0.13,1.16,1.34,5.96
EOCT,Innovator Emerging Markets Power Buffer ETF - October,Emerging markets,34.11,4016,9976.23,109828342.50,0.89,-0.19,0.15,1.19,5.96,8.80,6.93,25.59
JPEM,JPMorgan Diversified Return Emerging Markets Equity ETF,Emerging markets,64.83,6547,15645.70,391560000.00,0.44,-1.26,0.15,0.13,1.93,5.71,5.89,16.80
PIE,Invesco Dorsey Wright Emerging Markets Momentum ETF,Emerging markets,32.82,28439,67127.27,245328500.00,0.90,-1.06,0.14,5.35,23.50,36.67,37.59,67.42
TSEP,FT Vest Emerging Market Buffer ETF - September,Emerging markets,25.94,600,1615.43,16876651.93,0.95,-0.15,0.14,1.51,6.22,10.06,7.68,24.18
RNEM,Emerging Markets Equity Select ETF,Emerging markets,54.67,15981,1379.10,16466209.77,0.76,-1.11,0.13,-0.97,-1.37,-1.80,-2.17,1.15
UEVM,VictoryShares Emerging Markets Value Momentum ETF,Emerging markets,60.48,3538,5597.67,254922601.33,0.45,-1.77,0.12,0.27,4.69,6.22,7.29,21.25
EMEM,Sophus Capital Emerging Market ETF,Emerging markets,26.95,8554,,56693910.00,0.65,-1.80,0.11,7.37,7.37,7.37,7.37,7.37
EBUF,Innovator Emerging Markets 10 Buffer ETF - Quarterly,Emerging markets,31.58,1995,7427.80,32335880.00,0.89,-0.11,0.10,1.35,8.67,11.10,9.31,16.55
EYLD,Cambria Emerging Shareholder Yield ETF,Emerging markets,47.17,38654,132559.10,795726786.68,0.65,-1.59,0.10,4.85,11.38,20.49,20.92,37.76
GEMD,Goldman Sachs Access Emerging Markets USD Bond ETF,Emerging markets,42.16,3086,3618.40,33744000.00,0.30,-0.39,0.09,0.33,-0.93,-1.29,-0.64,5.03
DEM,WisdomTree Emerging Markets High Dividend Fund,Emerging markets,55.71,93836,183798.63,3999665600.00,0.63,-1.29,0.07,6.15,12.39,18.41,18.00,26.67
PCY,Invesco Emerging Markets Sovereign Debt ETF,Emerging markets,21.58,180699,295806.03,1386848400.00,0.50,-0.35,0.07,0.40,-0.62,-1.08,-0.67,9.02
EJUL,Innovator Emerging Markets Power Buffer ETF July,Emerging markets,31.12,5034,7907.83,139663350.00,0.89,0.10,0.06,0.73,3.46,5.68,4.46,19.51
PPEM,Putnam PanAgora ESG Emerging Markets Equity ETF,Emerging markets,23.53,37,724.93,7607925.00,0.60,0.06,0.06,9.74,18.92,-15.03,-13.76,1.81
DEHP,Dimensional Emerging Markets High Profitability ETF,Emerging markets,43.52,20650,31261.43,455483355.49,0.41,-1.40,0.05,9.95,25.64,36.47,32.00,63.79
LEMB,iShares J.P. Morgan EM Local Currency Bond,Emerging markets,42.08,62624,132598.80,716949500.00,0.30,-0.52,0.04,0.92,0.66,-0.13,1.14,7.36
BCEM,Baron Emerging Markets Select ETF,Emerging markets,28.07,5331,6759.33,42050719.50,0.80,-1.72,0.04,3.96,13.19,13.19,13.19,13.19
AVXC,Avantis Emerging Markets ex-China Equity ETF,Emerging markets,85.56,12955,42143.07,419159448.00,0.33,-1.34,0.01,9.69,22.35,35.59,32.08,59.87
TJUN,FT Vest Emerging Markets Buffer ETF - June,Emerging markets,23.60,1,531.10,2357447.15,0.95,0.15,0.00,1.03,3.44,6.98,4.29,17.67
BGEG,BAILLIE GIFFORD EMERGING MARKETS ETF,Emerging markets,25.29,50214,,,0.79,,0.00,,,,0.00,
CEMB,iShares J.P. Morgan EM Corporate Bond ETF,Emerging markets,45.56,28902,57113.90,429587550.00,0.50,-0.24,0.00,-0.26,-0.76,-0.72,-0.70,1.97
EMES,Harbor Emerging Markets Select ETF,Emerging markets,29.18,19,254.10,12235750.00,0.65,2.97,0.00,8.00,21.08,31.06,26.70,48.21
VWOB,Vanguard Emerging Markets Government Bond ETF,Emerging markets,66.82,436570,527065.77,6097036409.14,0.15,-0.34,-0.01,0.19,-0.91,-1.19,-1.03,4.66
DFEM,Dimensional Emerging Markets Core Equity 2 ETF,Emerging markets,41.46,463862,837874.70,9398401514.35,0.39,-1.36,-0.01,6.42,17.78,25.83,23.25,47.18
JPMB,JPMorgan USD Emerging Markets Sovereign Bond ETF,Emerging markets,40.02,2720,7145.10,63888000.00,0.39,-0.40,-0.02,0.25,-0.52,-1.31,-0.94,5.21
TDEC,FT Vest Emerging Markets Buffer ETF - December,Emerging markets,26.34,818,5559.93,10546052.73,0.95,-0.28,-0.02,1.27,6.64,11.00,8.13,24.42
TMAR,FT Vest Emerging Markets Buffer ETF - March,Emerging markets,26.16,4212,5659.43,7880152.53,0.95,-0.76,-0.04,2.37,13.07,15.26,13.74,29.66
EMHY,iShares J.P. Morgan EM High Yield Bond ETF,Emerging markets,40.40,45868,83915.47,588149320.00,0.50,-0.33,-0.04,0.43,0.01,0.29,0.06,6.11
EMBX,VanEck Emerging Markets Bond ETF,Emerging markets,51.23,8323,61367.87,240696354.55,0.75,-0.44,-0.04,0.06,0.00,0.85,1.07,2.56
EMBD,Global X Emerging Markets Bond ETF,Emerging markets,23.83,7534,20564.90,255295697.38,0.39,0.00,-0.04,0.46,-1.04,-0.25,-1.00,4.70
NUEM,Nuveen ESG Emerging Markets Equity ETF,Emerging markets,42.41,3918,22451.50,393420401.41,0.36,-1.26,-0.05,3.04,14.90,15.21,16.70,37.69
EMTL,State Street DoubleLine Emerging Markets Fixed Income ETF,Emerging markets,42.75,4439,9097.07,89655774.60,0.65,-0.16,-0.05,-0.11,-0.65,-1.51,-1.34,0.47
FTHF,First Trust Emerging Markets Human Flourishing ETF,Emerging markets,49.88,25350,12158.87,126737649.40,0.75,-1.92,-0.06,14.17,30.08,54.43,47.36,99.36
QEMM,State Street SPDR MSCI Emerging Markets StrategicFactors ETF,Emerging markets,81.29,2633,4940.00,52870864.80,0.30,-1.15,-0.06,4.45,17.00,22.91,21.24,35.62
HYEM,VanEck Emerging Markets High Yield Bond ETF,Emerging markets,20.08,73777,119124.13,508784860.00,0.40,-0.27,-0.07,0.32,-0.12,0.93,0.83,3.11
EMCR,Xtrackers Emerging Markets Carbon Reduction and Climate Improvers ETF,Emerging markets,45.52,1516,1792.77,58901745.31,0.15,-1.45,-0.08,7.30,17.55,23.68,20.51,46.35
FEM,First Trust Emerging Markets AlphaDEX Fund,Emerging markets,32.93,76677,110066.53,771334265.93,0.80,-1.29,-0.09,-0.69,10.43,19.88,18.37,38.48
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Emerging markets,95.88,4180849,6760189.40,14196953120.00,0.39,-0.40,-0.09,0.32,-0.48,-0.62,-0.65,6.07
EQLT,iShares MSCI Emerging Markets Quality Factor ETF,Emerging markets,40.08,1497,4199.60,12816883.52,0.35,-1.80,-0.11,8.19,24.70,30.88,28.61,56.30
BEMB,iShares J.P. Morgan Broad USD Emerging Markets Bond ETF,Emerging markets,53.21,1913,1038.67,42508880.00,0.15,-0.41,-0.11,0.10,-0.96,-1.20,-1.42,2.45
