Ticker,Symbol,ETF Name,Last Price,Change %,Volume,Average Volume 30D,AUM,Expense Ratio %,MTD %,1M %,3M %,6M %,YTD %,1Y %,Theme Option,Exchange,Type,Type Specs,Subtype
AMEX:VEA,VEA,Vanguard FTSE Developed Markets ETF,71.685,-0.8780420353982176,5596365,10832166.366666667,231840278314.261,0.03,,4.680198598130838,8.073270013568528,15.230670310239512,13.515439429928747,28.58295964125561,Developed markets,AMEX,fund,['etf'],etf
CBOE:IEFA,IEFA,iShares Core MSCI EAFE ETF,97.45,-0.7131940906775373,4640427,9230561.1,185923178238.4,0.07,,2.7736764395697215,4.5825284395793044,8.773300591583881,7.858328721638085,17.878311358412965,Developed markets,CBOE,fund,['etf'],etf
AMEX:IEMG,IEMG,iShares Core MSCI Emerging Markets ETF,84.64,-1.5699499941853639,6381149,12997963.833333334,165552498124.8,0.09,,7.193515704154011,18.54341736694677,25.059101654846323,23.345963276012817,48.12740637031852,Emerging markets,AMEX,fund,['etf'],etf
AMEX:VWO,VWO,Vanguard FTSE Emerging Markets ETF,60.34,-1.3891158686059721,2480613,7714283.333333333,122734452817.2,0.06,,2.28852347855569,9.828904259191857,10.614115490375815,10.330956299140622,27.55522672021986,Emerging markets,AMEX,fund,['etf'],etf
AMEX:EFA,EFA,iShares MSCI EAFE ETF,104.245,-0.7379546752999347,6205021,13526046.1,77203876662.0,0.32,,2.7651813880126253,4.474844658248149,8.475546305931333,7.435844584149236,17.313751969390058,Developed markets,AMEX,fund,['etf'],etf
AMEX:SCHF,SCHF,Schwab International Equity ETF,27.785,-0.8386866523911471,4448270,7735216.033333333,66239250000.0,0.03,,4.967888175292789,8.875391849529782,14.766625361420898,14.200575421290596,28.515263644773352,Developed markets,AMEX,fund,['etf'],etf
AMEX:SPDW,SPDW,State Street SPDR Portfolio Developed World ex-US ETF,51.085,-0.8443322981366503,1630135,3327786.8666666667,40763803382.5,0.03,,4.897330595482542,8.460721868365178,15.316027088036126,13.85112547359038,27.90435653480221,Developed markets,AMEX,fund,['etf'],etf
AMEX:EEM,EEM,iShares MSCI Emerging Index Fund,69.73,-1.511299435028239,11605959,27013907.166666586,31069025247.6,0.72,,8.158833565999696,20.18269562219924,26.943382486801394,24.762927178386125,52.116055846422334,Emerging markets,AMEX,fund,['etf'],etf
AMEX:IDEV,IDEV,iShares Core MSCI International Developed Markets ETF,89.9601,-0.7720052945069485,478246,1181615.8333333333,30531819268.35,0.04,,2.6824563406003854,4.386284520770468,9.016117304895785,8.04720153735286,19.342133191828076,Developed markets,AMEX,fund,['etf'],etf
CBOE:EFV,EFV,iShares MSCI EAFE Value ETF,78.01,-0.6748153806977351,2852770,5485383.3,27646099979.2,0.33,,1.6416938110749253,3.888666933013719,9.966168593177343,8.121968121968122,22.715117193644808,Developed markets,CBOE,fund,['etf'],etf
AMEX:AVEM,AVEM,Avantis Emerging Markets Equity ETF,98.07,-1.516368748744733,1338060,2002587.1666666667,26552365625.0,0.33,,8.054208902600251,18.700072621641233,26.49297046304655,25.02549719530851,51.13268608414238,Emerging markets,AMEX,fund,['etf'],etf
NASDAQ:EMXC,EMXC,iShares MSCI Emerging Markets ex China ETF,102.66,-1.3264129181084292,1504651,2415059.3333333335,25333479496.9,0.25,,11.60515301407838,26.740740740740733,42.425083240843506,38.61733729408587,72.53781512605042,Emerging markets,NASDAQ,fund,['etf'],etf
AMEX:FNDF,FNDF,Schwab Fundamental International Equity ETF,54.815,-0.6434656516222657,1798123,1562298.9333333333,24589242000.0,0.25,,6.3749272268581345,10.871763754045308,20.31387181738366,19.605062186340824,40.04854368932038,Developed markets,AMEX,fund,['etf'],etf
AMEX:DFIV,DFIV,Dimensional International Value ETF,55.665,-0.49159814086521025,786460,1210131.8,19876903395.6345,0.27,,2.025293255131959,4.59413754227734,14.254926108374384,10.62201907790143,31.44037780401416,Developed markets,AMEX,fund,['etf'],etf
AMEX:AVDV,AVDV,Avantis International Small Cap Value ETF,109.0199,-0.6290219670039074,568079,671305.0,19841460732.0,0.36,,3.2678791323292735,3.9968520461699977,17.062063781810387,15.121330517423447,39.62589651639345,Developed markets,AMEX,fund,['etf'],etf
AMEX:SPEM,SPEM,State Street SPDR Portfolio Emerging Markets ETF,52.663467,-1.360803521258669,852734,2398539.1666666665,18012760572.8,0.07,,2.71789935634873,10.013509504909129,11.268681597295581,10.68404161412358,28.04149525893507,Emerging markets,AMEX,fund,['etf'],etf
AMEX:AVDE,AVDE,Avantis International Equity ETF,91.035,-0.7251908396946634,544205,1067558.0333333334,16926077350.0,0.23,,2.5515376816492066,3.8264142335766302,11.658285293756894,9.496030791436127,24.381746140183086,Developed markets,AMEX,fund,['etf'],etf
AMEX:DFAI,DFAI,Dimensional International Core Equity Market ETF,41.565,-0.6572657743785986,737957,1323543.6666666667,16383301795.155,0.18,,2.2257747171667517,3.3698085053469207,10.310509554140122,7.961038961038955,21.89149560117301,Developed markets,AMEX,fund,['etf'],etf
