Symbol,CompanyName,Exchange,Sector,Industry,MarketCap,AvgDailyVolume,AvgMonthlyVolume,LatestPrice,CandidateState,WeightedScore,RSI_1D,MACDScore,RSIScore,ADXScore,LifetimeHigh,DistanceToLifetimeHighPct,LifetimeHighBreakCount,EMA20,EMA52High,DistanceToEMA52HighPct,EMA52HighBreachCount,EMA200High,DistanceToEMA200HighPct,EMA200HighBreachCount,CeilingPattern,CandidateReason,L0_MACD_Alignment,L0_MACD_1D_Direction,L0_MACD_4H_Direction,L0_MACD_1H_Direction,L0_MACD_ZeroLinePassed,L0_MACD_BullishPassed,L0_MACD_Reason,MACD_1D_State,MACD_1D_Value,MACD_1D_Histogram,MACD_4H_State,MACD_4H_Value,MACD_1H_State,MACD_1H_Value,MACD_1H_Crossover,MACD_1H_ClearBullishCrossover,MACD_1H_ClearBearishCrossover,MACD_Fast_1D_State,MACD_Fast_4H_State,MACD_Fast_1H_State,MACD_Baseline_1D_State,MACD_Baseline_1D_Regime,MACD_Baseline_1D_Histogram,MACD_Baseline_4H_State,MACD_Baseline_1H_State,MACD_Flow_State,MACD_Flow_Reason,ConfirmedDivergence,BaselineDivergence,ADX_1D,ADX_State,Bollinger_PctB,Bollinger_Position,PriceLadder_Passed,SetupPassed,SetupScore,AppliedFilters,FilterPassed,FilterReason,RawDivergence_1D,RawDivergence_1H,RawDivergence_4H,ScoreWeights
BWXT,"BWX Technologies, Inc.",NYSE,Industrials,Aerospace & Defense,18078318592.0,1148330.0,1033840.3174603175,197.3300018310547,NO_CANDIDATE,20.0,38.7066,0.0,0.0,80.0,241.82,-18.398,61,210.3376,215.7177,-8.524,17,193.9555,1.7398,7,NO_V_RECOVERY,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH). Blocked BULLISH_DIVERGENCE.",MIXED_OR_WEAK,BEARISH,BEARISH,BULLISH,False,False,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH).",BEARISH,-5.4536,-0.9603,BEARISH,-4.4028,BULLISH,-0.9703,NONE,False,False,BEARISH,BEARISH,BULLISH,BEARISH,BEAR_CONFIRMED,-1.6859,BEARISH,BULLISH,NONE,No 1H MACD crossover or divergence trigger.,BULLISH_DIVERGENCE,BULLISH_DIVERGENCE,29.1809,BEARISH_STRONG,-0.04,BELOW_LOWER,False,False,0,,True,PASS,BULLISH_DIVERGENCE,NONE,NONE,"MACD 50%, RSI 25%, ADX 25%"
CCJ,Cameco Corporation,NYSE,Energy,Uranium,45086371840.0,3452050.0,3351656.619047619,103.5199966430664,NO_CANDIDATE,7.5,36.9405,0.0,0.0,30.0,135.24,-23.4546,41,114.3786,117.4088,-11.8294,16,102.557,0.939,7,NO_V_RECOVERY,Classical 12/26/9 MACD baseline is BEAR_CONFIRMED; no target state matched the rule set.,MIXED_OR_WEAK,BEARISH,BEARISH,BULLISH,False,False,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH).",BEARISH,-3.9426,-1.6738,BEARISH,-4.8446,BULLISH,-0.5597,NONE,False,False,BEARISH,BEARISH,BULLISH,BEARISH,BEAR_CONFIRMED,-1.9954,BEARISH,BULLISH,NONE,No 1H MACD crossover or divergence trigger.,NONE,NONE,19.6128,BEARISH_WEAK,-5.29,BELOW_LOWER,False,False,0,,True,PASS,NONE,NONE,NONE,"MACD 50%, RSI 25%, ADX 25%"
CEG,Constellation Energy Corporation,NASDAQ,Utilities,Utilities - Independent Power Producers,94151417856.0,3814920.0,3160644.0,260.6700134277344,NO_CANDIDATE,13.75,33.0825,0.0,0.0,55.0,411.0367,-36.5823,22,288.8231,302.736,-13.8953,25,313.6888,-16.9017,15,NO_V_RECOVERY,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH). Blocked BULLISH_DIVERGENCE.",MIXED_OR_WEAK,BEARISH,BEARISH,BULLISH,False,False,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH).",BEARISH,-12.3649,-4.6474,BEARISH,-14.7007,BULLISH,-0.9754,NONE,False,False,BEARISH,BEARISH,BULLISH,BEARISH,BEAR_CONFIRMED,-5.8016,BEARISH,BULLISH,NONE,No 1H MACD crossover or divergence trigger.,BULLISH_DIVERGENCE,BULLISH_DIVERGENCE,22.464,BEARISH_WEAK,3.35,INSIDE,False,False,0,,True,PASS,NONE,NONE,BULLISH_DIVERGENCE,"MACD 50%, RSI 25%, ADX 25%"
D,"Dominion Energy, Inc.",NYSE,Utilities,Utilities - Regulated Electric,59921186816.0,8210170.0,5670250.936507937,68.12999725341797,NO_CANDIDATE,7.5,70.3109,0.0,0.0,30.0,68.97,-1.2179,35,63.4842,63.3384,7.5651,36,60.7343,12.1772,16,ABOVE_HIGH_EMA_STACK,"L0 blocked bullish signal: strict MACD alignment failed (1D=BULLISH, 4H=BULLISH, 1H=BEARISH). Blocked BULL_EXTENDED.",MIXED_OR_WEAK,BULLISH,BULLISH,BEARISH,True,False,"L0 blocked bullish signal: strict MACD alignment failed (1D=BULLISH, 4H=BULLISH, 1H=BEARISH).",BULLISH,1.1535,0.6368,BULLISH,1.7019,BEARISH,0.615,NONE,False,False,BULLISH,BULLISH,BEARISH,BULLISH,BULL_CONFIRMED,0.506,BULLISH,BEARISH,NONE,No 1H MACD crossover or divergence trigger.,NONE,NONE,14.0283,BULLISH_WEAK,121.35,ABOVE_UPPER,True,False,0,,True,PASS,NONE,NONE,NONE,"MACD 50%, RSI 25%, ADX 25%"
DNN,Denison Mines Corp.,ASE,Energy,Uranium,2859853568.0,25261460.0,33535259.984126985,3.1600000858306885,NO_CANDIDATE,7.5,34.3131,0.0,0.0,30.0,4.43,-28.6682,29,3.5924,3.7659,-16.0892,19,3.2759,-3.5369,10,NO_V_RECOVERY,Classical 12/26/9 MACD baseline is BEAR_CONFIRMED; no target state matched the rule set.,MIXED_OR_WEAK,BEARISH,BEARISH,BULLISH,False,False,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH).",BEARISH,-0.1667,-0.0611,BEARISH,-0.1892,BULLISH,-0.0268,NONE,False,False,BEARISH,BEARISH,BULLISH,BEARISH,BEAR_CONFIRMED,-0.0699,BEARISH,BULLISH,NONE,No 1H MACD crossover or divergence trigger.,NONE,NONE,15.6734,BEARISH_WEAK,-6.85,BELOW_LOWER,False,False,0,,True,PASS,NONE,NONE,NONE,"MACD 50%, RSI 25%, ADX 25%"
EU,enCore Energy Corp.,NCM,Energy,Uranium,269983872.0,3493360.0,2926542.4285714286,1.3899999856948853,NO_CANDIDATE,13.75,27.7697,0.0,0.0,55.0,4.96,-71.9758,1,1.7191,2.0075,-30.7602,14,2.4772,-43.8877,12,NO_V_RECOVERY,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH). Blocked BULLISH_DIVERGENCE.",MIXED_OR_WEAK,BEARISH,BEARISH,BULLISH,False,False,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH).",BEARISH,-0.1583,-0.0296,BEARISH,-0.1329,BULLISH,-0.0261,NONE,False,False,BEARISH,BEARISH,BULLISH,BEARISH,BEAR_CONFIRMED,-0.0416,BEARISH,BULLISH,NONE,No 1H MACD crossover or divergence trigger.,BULLISH_DIVERGENCE,BULLISH_DIVERGENCE,21.5711,BEARISH_WEAK,-1.51,BELOW_LOWER,False,False,0,,True,PASS,NONE,NONE,BULLISH_DIVERGENCE,"MACD 50%, RSI 25%, ADX 25%"
FNUC,Frontier Nuclear and Minerals Inc.,NCM,Basic Materials,Other Industrial Metals & Mining,53689400.0,543730.0,364777.71428571426,2.0399999618530273,NO_CANDIDATE,7.5,41.2878,0.0,0.0,30.0,24.44,-91.653,7,2.2078,2.5514,-20.0433,17,3.5236,-42.1042,9,NO_V_RECOVERY,Classical 12/26/9 MACD baseline is BULL_RECOVERY; no target state matched the rule set.,MIXED_OR_WEAK,BULLISH,BEARISH,BULLISH,False,False,"L0 blocked bullish signal: strict MACD alignment failed (1D=BULLISH, 4H=BEARISH, 1H=BULLISH).",BULLISH,-0.089,0.0063,BEARISH,-0.0307,BULLISH,-0.0293,NONE,False,False,BULLISH,BEARISH,BULLISH,BULLISH,BULL_RECOVERY,0.0017,BULLISH,BULLISH,NONE,No 1H MACD crossover or divergence trigger.,NONE,NONE,14.9919,BULLISH_WEAK,21.58,INSIDE,False,False,0,,True,PASS,NONE,NONE,NONE,"MACD 50%, RSI 25%, ADX 25%"
LEU,Centrus Energy Corp.,NYSE,Energy,Uranium,3324702208.0,945870.0,828777.8095238095,169.0,NO_CANDIDATE,7.5,37.4856,0.0,0.0,30.0,464.25,-63.5972,51,196.0091,211.6404,-20.1476,16,227.0146,-25.5554,10,NO_V_RECOVERY,Classical 12/26/9 MACD baseline is BEAR_CONFIRMED; no target state matched the rule set.,MIXED_OR_WEAK,BEARISH,BEARISH,BULLISH,False,False,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH).",BEARISH,-9.1228,-4.4869,BEARISH,-12.268,BULLISH,-1.337,NONE,False,False,BEARISH,BEARISH,BULLISH,BEARISH,BEAR_CONFIRMED,-4.7487,BEARISH,BULLISH,NONE,No 1H MACD crossover or divergence trigger.,NONE,NONE,13.4168,BEARISH_WEAK,-5.56,BELOW_LOWER,False,False,0,,True,PASS,NONE,NONE,NONE,"MACD 50%, RSI 25%, ADX 25%"
LTBR,Lightbridge Corporation,NCM,Industrials,Electrical Equipment & Parts,341582656.0,912450.0,851880.9365079365,10.399999618530273,NO_CANDIDATE,7.5,37.7989,0.0,0.0,30.0,31.34,-66.8156,23,12.3649,13.0396,-20.2432,29,14.3712,-27.6333,11,NO_V_RECOVERY,Classical 12/26/9 MACD baseline is BEAR_CONFIRMED; no target state matched the rule set.,MIXED_OR_WEAK,BEARISH,BEARISH,BULLISH,False,False,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH).",BEARISH,-0.4302,-0.3897,BEARISH,-0.8896,BULLISH,-0.1884,NONE,False,False,BEARISH,BEARISH,BULLISH,BEARISH,BEAR_CONFIRMED,-0.3485,BEARISH,BULLISH,NONE,No 1H MACD crossover or divergence trigger.,NONE,NONE,18.5388,BEARISH_WEAK,-7.82,BELOW_LOWER,False,False,0,,True,PASS,NONE,NONE,NONE,"MACD 50%, RSI 25%, ADX 25%"
NEE,"NextEra Energy, Inc.",NYSE,Utilities,Utilities - Regulated Electric,187829616640.0,10906490.0,10037057.07936508,90.05999755859375,NO_CANDIDATE,7.5,40.532,0.0,0.0,30.0,98.75,-8.8,41,93.5103,93.6805,-3.8647,22,86.285,4.375,17,NO_V_RECOVERY,Classical 12/26/9 MACD baseline is BEAR_CONFIRMED; no target state matched the rule set.,MIXED_OR_WEAK,BEARISH,BEARISH,BULLISH,False,False,"L0 blocked bullish signal: strict MACD alignment failed (1D=BEARISH, 4H=BEARISH, 1H=BULLISH).",BEARISH,-0.9037,-0.6746,BEARISH,-1.7068,BULLISH,0.0512,NONE,False,False,BEARISH,BEARISH,BULLISH,BEARISH,BEAR_CONFIRMED,-0.6728,BEARISH,BULLISH,NONE,No 1H MACD crossover or divergence trigger.,NONE,NONE,16.7788,BEARISH_WEAK,2.97,INSIDE,False,False,0,,True,PASS,NONE,NONE,NONE,"MACD 50%, RSI 25%, ADX 25%"
