Symbol,Exchange,Sector,Industry
AAPL,NASDAQ,Technology,Consumer Electronics
MSFT,NASDAQ,Technology,Software—Infrastructure
AMD,NASDAQ,Technology,Semiconductors
NVDA,NASDAQ,Technology,Semiconductors
TSLA,NASDAQ,Consumer Cyclical,Auto Manufacturers
INTC,NASDAQ,Technology,Semiconductors
GOOGL,NASDAQ,Communication Services,Internet Content & Information
AMZN,NASDAQ,Consumer Cyclical,Internet Retail
META,NASDAQ,Communication Services,Internet Content & Information
SPY,NYSEARCA,ETF,Exchange Traded Fund
